測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm)
臺北,2017/02/28,23:02:00,"1,015.4",14.7,80,東北,4.3,0
臺北,2017/02/28,22:02:00,"1,015.6",14.7,78,東北,4.8,0
臺北,2017/02/28,21:02:00,"1,015.8",14.8,77,東北,3.8,0
臺北,2017/02/28,20:02:00,"1,015.6",15.1,75,東北東,3,0
臺北,2017/02/28,19:02:00,"1,015.7",14.8,76,東北東,3.2,0
臺北,2017/02/28,18:02:00,"1,015.4",14.5,78,東北,4.8,0
臺北,2017/02/28,17:02:00,"1,015.2",14.1,81,東北東,3.7,0
臺北,2017/02/28,16:02:00,"1,015.5",14,81,東北,3.9,0
臺北,2017/02/28,15:02:00,"1,015.9",14,82,東北東,3,0
臺北,2017/02/28,14:02:00,"1,016.8",14.2,78,東北東,3.6,0
臺北,2017/02/28,13:02:00,"1,017.5",14.8,77,東北,4.2,0
臺北,2017/02/28,12:02:00,"1,018.3",14.5,79,東北東,3.6,0
臺北,2017/02/28,11:02:00,"1,019.3",14.3,81,東北東,4,0
臺北,2017/02/28,10:02:00,"1,019.5",14.2,82,東北東,3.9,0
臺北,2017/02/28,09:02:00,"1,019.7",14,82,東北,2.8,0
臺北,2017/02/28,08:02:00,"1,019.5",14,81,東北東,3.2,0
臺北,2017/02/28,07:02:00,"1,019.4",14.2,81,東北東,3.7,0
臺北,2017/02/28,06:02:00,"1,018.8",14.3,79,東北,3.5,0
臺北,2017/02/28,05:02:00,"1,018.3",14.6,78,東北東,3.6,0
臺北,2017/02/28,04:02:00,"1,018.2",15.7,70,東北東,2.7,0
臺北,2017/02/28,03:02:00,"1,018.3",16.1,67,東,3.5,0
臺北,2017/02/28,02:02:00,"1,018.4",16.1,65,東,3.3,0
臺北,2017/02/28,01:02:00,"1,018.1",15.7,66,東南東,2.9,0
臺北,2017/02/28,00:02:00,"1,015.4",14.8,80,東北,2.9,0
臺北,2017/02/27,23:02:00,"1,019.8",15.4,65,東南東,2.7,0
臺北,2017/02/27,22:02:00,"1,020.3",15.4,65,東南東,2.7,0
臺北,2017/02/27,21:02:00,"1,020.3",15.2,66,東南東,2.5,0
臺北,2017/02/27,20:02:00,"1,020.4",14.7,70,東南東,2.2,0
