測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm)
臺北,2017/05/31,23:05:00,"1,000.8",28.7,68,西南西,0.5,0
臺北,2017/05/31,22:05:00,"1,000.9",28.9,68,靜風,0.2,0
臺北,2017/05/31,21:05:00,"1,000.5",28.6,68,北北西,0.3,0
臺北,2017/05/31,20:05:00,"1,000.7",29.1,66,西,0.5,0
臺北,2017/05/31,19:05:00,"1,000.2",29.4,66,西,1.2,0
臺北,2017/05/31,18:05:00,999.8,30.1,63,西,1.6,0
臺北,2017/05/31,17:05:00,999.4,31.5,60,西,3.8,0
臺北,2017/05/31,16:05:00,999.2,32.6,54,西南西,3.2,0
臺北,2017/05/31,15:05:00,999.2,33.9,49,西,4.7,0
臺北,2017/05/31,14:05:00,999.8,33.7,49,西,6,0
臺北,2017/05/31,13:05:00,"1,000.4",33.2,56,西,4.3,0
臺北,2017/05/31,12:05:00,"1,001.3",32.2,64,西,2.9,0
臺北,2017/05/31,11:05:00,"1,002.6",29.2,75,西,3.5,0
臺北,2017/05/31,10:05:00,"1,003.3",27.7,80,西,2.7,0
臺北,2017/05/31,09:05:00,"1,003.3",27.5,81,西,2.3,0
臺北,2017/05/31,08:05:00,"1,003.2",27.1,83,西,2.9,0
臺北,2017/05/31,07:05:00,"1,002.9",25.5,89,南南西,0.4,0
臺北,2017/05/31,06:05:00,"1,002.7",24.8,90,南,0.3,0
臺北,2017/05/31,05:05:00,"1,002.7",24.7,89,南,0.6,0
臺北,2017/05/31,04:05:00,"1,002.5",24.5,90,東南東,1.1,0
臺北,2017/05/31,03:05:00,"1,002.6",24.7,87,南,1,0
臺北,2017/05/31,02:05:00,"1,002.6",25,88,南,0.6,0
臺北,2017/05/31,01:05:00,"1,003",25,89,南,0.9,0
臺北,2017/05/31,00:05:00,"1,000.1",27.9,73,靜風,0.2,0
臺北,2017/05/30,23:05:00,"1,004.4",25.3,90,南南東,0.5,0
臺北,2017/05/30,22:05:00,"1,004.9",25.4,90,東,0.5,0
臺北,2017/05/30,21:05:00,"1,004.9",25,88,東北東,1.1,0
臺北,2017/05/30,20:05:00,"1,005",25.3,87,南南東,1.7,2
臺北,2017/05/30,19:05:00,"1,005",25.7,85,東南,1.9,0
臺北,2017/05/30,18:05:00,"1,004.9",26.2,80,南南東,1.6,0
臺北,2017/05/30,17:05:00,"1,004.2",27.4,73,南南東,1.6,0
臺北,2017/05/30,16:05:00,"1,004.3",27.8,73,東南東,2.2,0
臺北,2017/05/30,15:05:00,"1,005.1",27.5,77,南南東,2.7,0
臺北,2017/05/30,14:05:00,"1,005",27,77,南南東,2.9,0
臺北,2017/05/30,13:05:00,"1,005",29.9,63,西,0.9,0
臺北,2017/05/30,12:05:00,"1,005.3",30.8,61,靜風,0.2,0
臺北,2017/05/30,11:05:00,"1,006",30.4,62,西,0.6,0
臺北,2017/05/30,10:05:00,"1,006",31,63,東,0.7,0
臺北,2017/05/30,09:05:00,"1,006.4",29.1,68,東南,1.5,0
